Ime naselja,Spol,Ukupno,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+
Grad Đakovo,UKUPNO,27745,1384,1509,1846,2042,2025,1934,1702,1690,1902,2214,2159,1748,1334,1107,1248,1003,598,243,44,13
Grad Đakovo,m,13598,678,763,979,1037,1062,1037,866,881,953,1086,1115,911,616,476,501,389,192,44,10,2
Grad Đakovo,ž,14147,706,746,867,1005,963,897,836,809,949,1128,1044,837,718,631,747,614,406,199,34,11
Grad Đakovo Budrovci,UKUPNO,1260,67,76,78,104,103,85,54,63,88,117,100,60,46,68,71,41,26,13,0,0
Grad Đakovo Budrovci,m,646,33,39,40,64,51,55,26,35,47,59,64,37,18,28,25,16,7,2,0,0
Grad Đakovo Budrovci,ž,614,34,37,38,40,52,30,28,28,41,58,36,23,28,40,46,25,19,11,0,0
Grad Đakovo Đakovo,UKUPNO,19491,918,1020,1213,1370,1367,1402,1285,1228,1325,1519,1554,1337,955,789,874,702,418,169,35,11
Grad Đakovo Đakovo,m,9405,448,499,642,694,718,729,657,630,646,725,765,680,438,334,353,275,136,26,8,2
Grad Đakovo Đakovo,ž,10086,470,521,571,676,649,673,628,598,679,794,789,657,517,455,521,427,282,143,27,9
Grad Đakovo Đurđanci,UKUPNO,425,24,18,23,29,39,31,18,17,23,46,30,31,25,11,20,23,9,6,2,0
Grad Đakovo Đurđanci,m,215,10,10,14,13,25,17,10,11,10,20,20,15,14,7,9,9,1,0,0,0
Grad Đakovo Đurđanci,ž,210,14,8,9,16,14,14,8,6,13,26,10,16,11,4,11,14,8,6,2,0
Grad Đakovo Ivanovci Gorjanski,UKUPNO,580,28,22,43,34,47,40,32,25,42,37,43,34,25,33,35,31,16,11,1,1
Grad Đakovo Ivanovci Gorjanski,m,286,14,9,28,18,22,24,18,13,19,24,23,18,11,14,13,11,4,3,0,0
Grad Đakovo Ivanovci Gorjanski,ž,294,14,13,15,16,25,16,14,12,23,13,20,16,14,19,22,20,12,8,1,1
Grad Đakovo Kuševac,UKUPNO,1028,46,38,91,92,79,53,52,45,74,88,102,53,46,44,51,44,20,8,2,0
Grad Đakovo Kuševac,m,533,27,24,48,44,42,29,25,24,44,43,59,26,22,25,18,20,10,3,0,0
Grad Đakovo Kuševac,ž,495,19,14,43,48,37,24,27,21,30,45,43,27,24,19,33,24,10,5,2,0
Grad Đakovo Novi Perkovci,UKUPNO,246,8,11,16,23,21,12,16,15,19,22,19,8,9,6,18,13,8,2,0,0
Grad Đakovo Novi Perkovci,m,134,5,7,9,11,10,5,10,11,14,14,11,5,6,1,7,5,3,0,0,0
Grad Đakovo Novi Perkovci,ž,112,3,4,7,12,11,7,6,4,5,8,8,3,3,5,11,8,5,2,0,0
Grad Đakovo Piškorevci,UKUPNO,1907,112,124,143,165,158,128,91,113,127,166,137,85,73,71,71,73,54,14,1,1
Grad Đakovo Piškorevci,m,975,59,64,75,89,86,76,40,56,66,83,79,57,33,33,33,25,16,5,0,0
Grad Đakovo Piškorevci,ž,932,53,60,68,76,72,52,51,57,61,83,58,28,40,38,38,48,38,9,1,1
Grad Đakovo Selci Đakovački,UKUPNO,1796,129,124,155,126,134,123,104,132,134,117,109,95,103,51,67,48,30,12,3,0
Grad Đakovo Selci Đakovački,m,897,62,68,89,47,63,66,56,78,66,65,62,44,50,23,27,18,8,3,2,0
Grad Đakovo Selci Đakovački,ž,899,67,56,66,79,71,57,48,54,68,52,47,51,53,28,40,30,22,9,1,0
Grad Đakovo Široko Polje,UKUPNO,1012,52,76,84,99,77,60,50,52,70,102,65,45,52,34,41,28,17,8,0,0
Grad Đakovo Široko Polje,m,507,20,43,34,57,45,36,24,23,41,53,32,29,24,11,16,10,7,2,0,0
Grad Đakovo Široko Polje,ž,505,32,33,50,42,32,24,26,29,29,49,33,16,28,23,25,18,10,6,0,0
